,DATA,TITULO,KW,RESUMO,URL,TARGET
0,,Mulheres dispensam mensagens de parabéns e pedem fim da violência,"['brasil', 'flores', 'pedem', 'luta', 'mulher', 'twitter', 'mensagens', 'mulheres', 'data', 'parabéns', 'gênero', 'dispensam', 'feminicídio', 'violência']","De acordo com dados do Mapa da Violência Contra a Mulher 2018, entre janeiro e novembro, só a imprensa brasileira veiculou 68.811 casos de violência contra a mulher, divididos em categorias como importunação sexual, violência on-line, estupro, feminicídio e violência doméstica.
É a denúncia da desigualdade e da violência que sofremos, mas também o anúncio de que nós, mulheres, estamos organizadas"", afirma a parlamentar.
Mobilização mundialDe fato, por ocasião da data, mulheres de todo o mundo têm saído às ruas para protestar contra as condições sociais que tentam rebaixar a posição feminina.
O feminicídio e a violência contra a mulher também foram pautados em Nairobi, capital do Quênia.
O movimento de mulheres protesta para que o poder público local reconheça a gravidade desses problemas sociais e seja criado um plano nacional de combate à violência e morte dessas mulheres.","https://www.brasil247.com/pt/247/brasil/386215/Mulheres-dispensam-mensagens-de-parab%C3%A9ns-e-pedem-fim-da-viol%C3%AAncia.htm
",0
1,2019-03-09 00:00:00,"Venezuela: depois de apagão, Maduro e Guaidó convocam novos protestos no país","['país', 'el', 'usurpador', 'venezuelano', 'sextafeira', 'maduro', 'venezuela', 'convocam', 'energia', 'la', 'quintafeira', 'pediu', 'guaidó', 'apagão', 'protestos']","Nicolás Maduro também pediu aos seus partidários que se mobilizassem para desfilar contra o ""imperialismo"".
¡Venezuela a la calle!
Mañana convoco a todo el pueblo venezolano a expresarnos masivamente en las calles contra el régimen usurpador, corrupto e incapaz que ha puesto a oscuras a nuestro país.
El cese de la usurpación será el cese de la oscuridad.
Os estabelecimentos equipados com geradores de energia atendem apenas os casos urgentes e pacientes já morreram porque os equipamentos respiratórios pararam de funcionar.","https://g1.globo.com/mundo/noticia/2019/03/09/venezuela-depois-de-apagao-maduro-e-guaido-convocam-novos-protestos-no-pais.ghtml
",0
2,2019-03-09 00:00:00,Redes sociais norteiam atuação de parlamentares no Congresso,"['rodrigo', 'maia', 'sociais', 'reforma', 'norteiam', 'parlamentar', 'congresso', 'vivo', 'atuação', 'presidente', 'seguidores', 'previdência', 'parlamentares', 'redes']","No Congresso Nacional, os celulares em punho são onipresentes: filmando discursos no plenário, registrando atos ou transmitindo ao vivo entrevistas à imprensa.
As fotos e vídeos vão direto para as redes sociais dos parlamentares.
OnlineAté mesmo reuniões a portas fechadas vão parar nas redes sociais.
A deputada Policial Katia Sastre (PR-SP) tem se dedicado para dar atenção aos seus seguidores nas redes, criadas um mês antes da eleição em outubro.
Para o deputado Fred Costa (Patri-MG), que tem a proteção dos animais como principal bandeira, as redes sociais são fundamentais para a sua atuação parlamentar.","https://g1.globo.com/politica/noticia/2019/03/09/redes-sociais-norteiam-atuacao-de-parlamentares-no-congresso.ghtml
",0
3,,Juiz federal bloqueia bens da família Richa,"['richa', 'bloqueia', 'r', 'mpf', 'fernanda', 'família', 'beto', 'decisão', 'indisponibilidade', 'público', 'bens', 'federal', 'juiz']","RECEBA diariamente pelo WhatsApp as principais notícias do ParanáO bloqueio, determinado a pedido do Ministério Público Federal (MPF), ocorre no âmbito da Operação Integração, um desdobramento da Operação Lava Jato.
De acordo com o MPF, Dirceu Pupo Ferreira utilizaria dinheiro de propina, pago pelas concessionárias de pedágio a Beto Richa, na compra/venda de imóveis, atividade central das empresas da família Richa.
Na Operação Integração, Beto Richa e o contador já são réus pelos crimes de corrupção passiva, organização criminosa e lavagem de dinheiro; Fernanda e André Richa são réus por lavagem de dinheiro.
Já o advogado Walter Bittar, que defende o ex-governador do Paraná Beto Richa, informou por nota que “as medidas cabíveis serão tomadas e há plena confiança na atuação do Poder Judiciário”.
A defesa de Fernanda Richa afirma que “o magistrado da causa foi induzido em erro pelo Ministério Público Federal.","https://www.gazetadopovo.com.br/politica/parana/juiz-federal-bloqueia-ativos-financeiros-imoveis-e-veiculos-da-familia-richa-ehr9hvtbsdjxwrptsuf4zotgl/
",0
4,,Olavo de Carvalho racha com governo Bolsonaro,"['bolsonaro', 'olavo', 'filósofo', 'mourão', 'ministério', 'disse', 'resende', 'racha', 'governo', 'carvalho', 'ministro']","O filósofo Olavo de Carvalho, considerado o “guru” da nova direita brasileira, entrou em rota de colisão com peças-chave do governo de Jair Bolsonaro (PSL).
— Olavo de Carvalho (@opropriolavo) 6 de março de 2019Educação vira foco de conflitoO principal foco das polêmicas recentes envolvendo Olavo de Carvalho é o Ministério da Educação.
“É a maior traição dentro do governo Bolsonaro que se viu até agora.
Já a também deputada federal Carla Zambelli (PSL-PR) tem uma avaliação mais crítica da postura de Olavo de Carvalho.
Um discípulo no ItamaratyO ministro da Educação foi um dos dois indicados por Olavo de Carvalho a Jair Bolsonaro.","https://www.gazetadopovo.com.br/politica/republica/olavo-de-carvalho-chuta-o-balde-e-expoe-racha-com-setores-do-governo-bolsonaro-3oov29k48zxklva7blqbviww7/
",0
5,2019-03-08 00:00:00,Mãe passa mal no enterro da filha que morreu queimada pelo namorado em SP,"['preso', 'namorado', 'filha', 'vítima', 'isabela', 'disse', 'miranda', 'passa', 'felipe', 'mãe', 'queimada', 'chácara', 'morreu', 'enterro', 'william', 'sp', 'testemunhas']","Mãe de Isabela Miranda de Oliveira passou mal durante enterro da filha — Foto: TV Globo/ReproduçãoO corpo da estudante Isabela Miranda de Oliveira, que faria 20 anos neste domingo (10), foi enterrado no Cemitério de Caieiras, na Grande São Paulo, nesta quinta-feira (8).
A mãe de Isabela passou mal e acompanhou o enterro em uma cadeira de rodas.
O autor do crime, William Felipe Alves, de 21 anos, está preso.
Isabela Miranda de Oliveira e o namorado William Felipe Alves, que está preso — Foto: TV Globo/ReproduçãoWilliam Felipe Alves foi preso em flagrante no mesmo dia.
Segundo testemunhas, William Felipe foi até o quarto e viu Isabela e o cunhado dele juntos na cama.","https://g1.globo.com/sp/sao-paulo/noticia/2019/03/08/mae-de-isabela-passa-mal-no-enterro-da-filha-que-morreu-queimada-pelo-namorado-em-sp.ghtml
",0
6,2019-03-08 00:00:00,"'Não pode levar um ano para aprovar uma reforma', diz Bolsonaro sobre Previdência","['bolsonaro', 'aprovar', 'reforma', 'disse', 'sociais', 'congresso', 'sustentar', 'levar', 'governo', 'proposta', 'recebeu', 'previdência']","""Acredito que sim"", respondeu Bolsonaro a jornalistas ao ser questionado se acreditava que a proposta de reforma da Previdência poderia ser aprovada ainda neste primeiro semestre.
A proposta de reforma da Previdência foi entregue por Bolsonaro aos presidentes da Câmara, Rodrigo Maia, e do Senado, Davi Alcolumbre, no dia 20 de fevereiro.
Até os militares vão entrar com a sua cota de sacrifício nessa reforma"", disse o presidente.
Presidente Jair Bolsonaro admite negociar pontos da reforma da PrevidênciaSobre a articulação no Congresso para a aprovação da proposta de reforma da Previdência, Bolsonaro disse que está apelando ao ""espírito patriótico"" dos parlamentares.
'Intensificação'À noite, o porta-voz de Bolsonaro, Otávio do Rêgo Barros, voltou a falar sobre a reforma da Previdência durante declaração à imprensa.","https://g1.globo.com/economia/noticia/2019/03/08/nao-pode-levar-um-ano-para-aprovar-uma-reforma-diz-bolsonaro-sobre-previdencia.ghtml
",0
7,2019-03-08 00:00:00,Paulo Vieira de Souza reitera ao Supremo pedido de liberdade,"['souza', 'processo', 'liberdade', 'reitera', 'supremo', 'justiça', 'federal', 'paulo', 'vieira', 'pedido', 'prisão', 'mendes']","Paulo Vieira de Souza após depoimento à 5ª Vara Federal de Justiça de São Paulo, no ano passado — Foto: Reprodução/TV GloboO ex-diretor de engenharia da Dersa Paulo Vieira de Souza , suspeito de ser operador de propinas do PSDB, reiterou nesta sexta-feira (8) pedido de liberdade ao Supremo Tribunal Federal ( STF ).
O caso está sob análise do ministro Gilmar Mendes , que no ano passado deu duas decisões para libertar Souza.
Em 2018, Paulo Vieira foi preso duas vezes em outro processo, que apura desvio de dinheiro das desapropriações do Rodoanel, mas foi solto por ordem de Gilmar Mendes.
De acordo com a Lava Jato, Paulo Vieira de Souza tinha, em 2010, cerca de R$ 100 milhões em espécie e teria um “bunker” para guardar a propina.
Após o pedido, Gilmar Mendes pediu informações à Justiça Federal em Curitiba, e a juíza Gabriela Hardt disse que há motivo suficiente para prisão preventiva.","https://g1.globo.com/politica/noticia/2019/03/08/paulo-vieira-de-souza-reitera-ao-supremo-pedido-de-liberdade.ghtml
",0
8,2019-03-08 04:30:00,"‘Queria ajudar Bolsonaro a mudar o país, mas o PSL tentou me enrolar’, diz candidata que acusa assessor de ministro","['país', 'quis', 'assessor', 'álvaro', 'r', 'tentou', 'psl', 'campanha', 'marcelo', 'antônio', 'turismo', 'queria', 'ministro', 'bolsonaro', 'enrolar', 'candidata', 'mudar', 'repasse', 'robertinho']","Veja mais opçõesLeia a entrevista com Adriana Moreira Borges, que acusa o ministro do Turismo, Marcelo Álvaro Antônio.
Nunca quis ser candidata, mas presidente do PSL mulher, para divulgar ações e trazer mulheres para a política.
Nos últimos dias de registro da chapa, resolvi sair como federal, pra ajudar Bolsonaro a mudar o país.
Eu tinha contato com quatro assessores do Marcelo Álvaro (presidente do PSL em Minas).
Um dia o Robertinho (assessor) me chamou para ir no hotel onde ele ficava hospedado, na Avenida Brasil, em Belo Horizonte.","https://oglobo.globo.com/brasil/queria-ajudar-bolsonaro-mudar-pais-mas-psl-tentou-me-enrolar-diz-candidata-que-acusa-assessor-de-ministro-23506767
",0
9,,"Em pleno Dia da Mulher, Damares Alves quer que homens nos deem flores","['flores', 'pleno', 'alves', 'violência', 'deem', 'mulher', 'damares', 'respeito', 'homens', 'mulheres', 'vamos', 'ministra', 'projeto', 'iguais']","Para completar, a ministra ainda disse que as mulheres não podem ser tratadas iguais aos homens em vários aspectos.
“Vamos elevar a mulher para um patamar de um ser especial, pleno, um ser extraordinário”, finalizou.
As declarações foram dadas durante o evento de lançamento da campanha “Salve Uma Mulher”, idealizada pela ministra em parceria com colaboradores, como Augustin.
O projeto é direcionado a profissionais do ramo da beleza, como maquiadores e cabeleireiros.
O intuito é que eles consigam identificar marcar de violência doméstica nas clientes.","https://capricho.abril.com.br/vida-real/em-pleno-dia-da-mulher-damares-alves-quer-que-homens-nos-deem-flores/
",0
10,2019-03-08 00:00:00,"'Era tudo flores e acabou nisso', diz mineira que foi espancada e deixada em estrada no Espírito Santo","['acabou', 'espírito', 'salvador', 'cansei', 'espancada', 'deixada', 'amaral', 'vítima', 'nisso', 'jane', 'santo', 'flores', 'disse', 'tentativa', 'irmão', 'mineira', 'cherubim', 'estrada', 'jonas']","Contudo, segundo Salvador Cherubim, a vítima de tentativa de feminicídio segue internada sem previsão de alta.
Com a gente ela fala com um pouco de dificuldade, mas esclarece o caso"", contou Salvador Cherubim ao MG1.
O suspeito das agressões é o namorado dela, Jonas Amaral.
“Ela tava muito machucada, seminua, sem as peças íntimas, unha quebrada, machucada da cabeça aos pés”, contou o irmão de Jane, Salvador Cherubim.
Em depoimento à polícia, o irmão de Jane disse que ela nunca se queixou do namorado, mas que ele tinha muito ciúmes.","https://g1.globo.com/mg/zona-da-mata/noticia/2019/03/08/era-tudo-flores-e-acabou-nisso-diz-mineira-que-foi-espancada-e-deixada-em-estrada-no-espirito-santo.ghtml
",0
11,2019-03-08 01:05:00,"Por que o Dia Internacional da Mulher é para reflexão, e não para flores ou bombons","['flores', 'essencialmente', 'março', '8', 'mulher', 'luta', 'direitos', 'mulheres', 'homens', 'data', 'internacional', 'reflexão', 'bombons']","Criada pela ONU, a data não é de festa: reflete a luta histórica por direitos e oportunidadesMuito se fala sobre o motivo de o 8 de março ter sido escolhido o Dia Internacional da Mulher.
Em 1975, o 8 de março foi oficializado pela ONU como o Dia Internacional da Mulher.
— O Dia Internacional da Mulher joga luz sobre essa situação.
Ou seja, é um dia de mobilização, não de homenagem a pessoas especiais com flores e bombons.
Por isso, neste 8 de março, ao encontrar uma mulher, em vez de oferecer flores e desejar feliz dia, olhe para ela e diga: estou com você nessa luta.","https://oglobo.globo.com/celina/por-que-dia-internacional-da-mulher-para-reflexao-nao-para-flores-ou-bombons-23506997
",0
12,2019-03-08 00:00:00,"Em troca de fundo do MPF, Petrobras repassará dados aos EUA","['doj', 'mpf', 'brasil', 'negócios', 'fundo', 'eua', 'dinheiro', 'acordo', 'relatórios', 'informações', 'governo', 'troca', 'petrobras', 'dados', 'repassará']","Negócios internacionaisPor Fernando MartinesAo que tudo indica, a ""lava jato"" se tornou um canal para o governo dos Estados Unidos ter acesso aos negócios da Petrobras.
Em troca do dinheiro vir para o Brasil, a Petrobras se comprometeu a repassar informações confidenciais sobre seus negócios ao governo norte-americano.
O acordo diz que a Petrobras pagaria US$ 853 milhões de multas para que não fosse processada pelos crimes de que é acusada nos EUA.
Mas os anexos é que tratam do principal: o destino do dinheiro em troca das informações sobre as atividades da Petrobras.
Clique aqui para ler o acordo entre Petrobras e EUA","https://www.conjur.com.br/2019-mar-08/troca-alimentar-fundo-mp-petrobras-repassara-dados-aos-eua
",0
13,2019-03-08 00:00:00,Sobe para 197 o número de mortos identificados na tragédia da Vale em Brumadinho,"['vale', 'brumadinho', 'mortos', 'identificados', 'civil', 'defesa', 'tragédia', 'brumadinhosegundo', 'continuam', '197', 'desaparecidas', 'sobe']","Sobe para 197 o número de mortos identificados na tragédia da Vale em BrumadinhoSegundo a Defesa Civil, 111 pessoas continuam desaparecidas.","https://g1.globo.com/mg/minas-gerais/noticia/2019/03/08/sobe-para-197-o-numero-de-mortes-confirmadas-na-tragedia-da-vale-em-brumadinho.ghtml
",0
14,,A irresponsável declaração de Bolsonaro no Dia Internacional da Mulher,"['bolsonaro', 'declaração', 'país', 'brasil', 'irresponsável', 'pesquisa', 'mulher', 'cargos', 'afirmou', 'mulheres', 'homens', 'internacional', 'gênero']","Somente um pequeno detalhe: cada uma dessas mulheres que está aqui equivale por 10 homens.
A garra dessas duas transmite energia para os demais”, disse ele em tom condescendente, nesta sexta-feira (08), em cerimônia em homenagem ao Dia Internacional da Mulher, no Palácio do Planalto.
E boa parte disso é graças à garra, à vontade, à determinação, à dedicação e à fé das mulheres.
E é particularmente irresponsável tal declaração se analisarmos alguns outros dados.
Então, Bolsonaro, quando o seu governo tiver 11 homens e 11 mulheres nos cargos ministeriais, aí, sim, você vai poder dizer que o número está equilibrado pela primeira vez nesse país.","https://mdemulher.abril.com.br/estilo-de-vida/a-irresponsavel-declaracao-de-bolsonaro-no-dia-internacional-da-mulher/
",0
15,2019-03-08 19:03:16,Morre o policial militar baleado na Rocinha,"['polícia', 'zona', 'upp', 'sul', 'policial', 'confronto', 'soldado', 'rio', 'pm', 'morre', 'rocinha', 'comunidade', 'militar', 'baleado']","Rafael Nascimento Tamanho do textoRIO — O soldado da Polícia Militar Leandro Venerando Costa da Silva, 33 anos, não resistiu aos ferimentos e morreu nesta sexta-feira.
Ele foi baleado na Rocinha, Zona Sul do Rio, durante um confronto na comunidade nesta manhã.
Ferideo, ele foi socorrido e levado para o Hospital municipal Miguel Couto, também na Zona Sul do Rio.
Por meio de nota, a Polícia Militar lamentou a morte do Leandro.
De acordo com a Polícia Militar, houve um confronto entre PMs da UPP da comunidade e um bando armado.","https://extra.globo.com/casos-de-policia/morre-policial-militar-baleado-na-rocinha-23509023.html
",0
16,2019-03-08 00:00:00,Homicídio contra mulher e feminicídio demandam políticas públicas específicas,"['brasil', 'demandam', 'violentas', 'mulher', 'públicas', '2018', 'mulheres', 'políticas', 'estados', 'aumento', 'homicídio', 'mortes', 'específicas', 'feminicídio', 'violência', 'ceará']","O ano de 2019 começou com boas e más notícias no que diz respeito ao número de mortes violentas no Brasil.
No Brasil, no ano de 2018, os homicídios de mulheres representaram cerca de 8,7% dos total de assassinatos no país.
Quando as vítimas são mulheres, as mortes podem ser classificadas como feminicídios se o crime for motivado pela condição de gênero.
Segundo os dados levantados pelo Monitor da Violência, 16 unidades da federação tiveram aumento dos registros de feminicídio em 2018 em relação ao ano anterior.
Vale lembrar que logo no início de 2018 o Ceará foi palco de uma chacina que vitimou 14 pessoas, sendo 8 mulheres.","https://g1.globo.com/monitor-da-violencia/noticia/2019/03/08/homicidio-contra-mulher-e-feminicidio-demandam-politicas-publicas-especificas.ghtml
",0
17,2019-03-08 20:30:20,Professor de jiu-jítsu assassinado no Andaraí é enterrado sob forte comoção,"['rodrigo', 'professor', 'amigos', 'jiujítsu', 'comoção', 'tijuca', 'segurança', 'assassinado', 'quitinetes', 'rua', 'andaraí', 'cafu', 'tráfico', 'tiros', 'enterrado', 'forte']","Flávia Junqueira Tamanho do textoAs três salvas de palmas em homenagem ao professor e mestre de jiu-jítsu Rodrigo Tawil Fernandes, assassinado com 14 tiros na noite desta quinta-feira, ecoaram pelo Cemitério do Caju.
Um segundo carrinho foi necessário para levar todas as coroas de flores que chegaram à Capela E, que ficou pequena para tantas despedidas.
Rodrigo, conhecido como Cafu, foi morto na Rua Agenor Moreira, no Andaraí.
Além de professor de jiu-jítsu, Cafu tinha uma empresa de segurança que atuava em eventos e também trabalhava para o grupo Sorriso Maroto.
Ele era filho do ex-jogador de futebol Moacir Fernandes, o Cafuringa, que jogou pelo Fluminense, Botafogo e Atlético Mineiro.","https://extra.globo.com/casos-de-policia/professor-de-jiu-jitsu-assassinado-no-andarai-enterrado-sob-forte-comocao-23509280.html
",0
