KW1;KW2;KW3;KW4;KW5;KW6;KW7;KW8;KW9;KW10;KW11;KW12;KW13;KW14;KW15;KW16;KW17;KW18;KW19;KW20;Target
'luciene'; 'amante'; 'pm'; 'efetuados'; 'homem'; 'tiros'; 'vista'; 'comete'; 'vinicius'; 'chegou'; 'seguida'; 'mata'; 'esposa'; 'albério'; 'polícia'; 'carro'; 'suicídio';;;;1
'preso'; 'áudios'; 'aragarças'; 'família'; 'tiros'; 'jovem'; 'suposta'; 'pms'; 'jeferson'; 'troca'; 'morreu'; 'menino'; 'polícia'; 'apontam'; 'carro';;;;;;1
'cabeça'; 'municipal'; 'miss'; 'guarda'; 'suspeitos'; 'velha'; 'thainá'; 'es'; 'vila'; 'roubado'; 'apontada'; 'carro'; 'perseguição'; 'arma';;;;;;;1
'jato'; 'liberdade'; 'morto'; 'sul'; 'morro'; 'homem'; 'tiros'; 'zona'; 'madrugada'; 'surpreendido'; 'manaus'; 'segundafeira'; 'lava';;;;;;;;1
'morto'; 'ocorreu'; 'namorada'; 'tiros'; 'jovem'; 'branco'; 'velha'; 'frente'; 'samu'; 'rio'; 'segundafeira'; 'souza'; 'bairro'; 'região'; 'sobral';;;;;;1
'triagem'; 'menina'; 'criança'; 'foto'; 'morre'; 'reprodução'; 'rua'; 'autores'; 'zona'; 'norte'; 'polícia'; 'moradores'; 'disparo'; 'redes'; 'policiais'; 'militar'; 'serem'; 'baleada'; 'ônibus';;1
'preso'; 'tupã'; 'porta'; 'relacionamento'; 'suspeito'; 'acabou'; 'disparo'; 'sp'; 'mãe'; 'matou'; 'casa'; 'vida'; 'saía'; 'ouviu'; 'filha';;;;;;1
'prisão'; 'posse'; 'ilegal'; 'homem'; 'suspeito'; 'disparo'; 'revólver'; 'volta'; 'responderá'; 'rua'; 'veículo'; 'munições'; 'intactas'; 'arma'; 'fogo';;;;;;1
'rapaz'; 'fogo'; 'sequência'; 'homem'; 'apucarana'; 'disparo'; 'sextafeira'; 'providênciamais'; 'procura'; 'tentativa'; 'polícia'; 'registrada'; 'tiro'; 'atingido'; 'arma';;;;;;1
'dn'; 'publicidade'; 'morro'; 'sul'; 'homem'; 'fumaça'; 'tauros'; 'manusear'; 'disparo'; 'pistola'; 'jvs'; 'fere'; 'pt'; 'querer'; 'perna'; 'mmbm'; 'acidental'; 'acabou';;;1
'disparos'; 'qualificadoras'; 'espingarda'; 'homem'; '33'; 'zona'; 'militar'; 'prende'; 'disparo'; '20'; 'rural'; 'responderá'; 'referentes'; 'filadélfia'; 'polícia'; 'arma'; 'fogo';;;;1
'espingarda'; 'civil'; 'homem'; 'voltava'; 'técnica'; 'encaminhado'; 'disparo'; 'vítima'; 'acidental'; 'cidade'; 'bahia'; 'chão'; 'polícia'; 'aniversário'; 'morre'; 'valdinei';;;;;1
'velho'; 'suspeitos'; 'crianças'; 'saíam'; 'invade'; 'disparo'; 'rouba'; 'militar'; 'seguida'; 'revólver'; 'escola'; 'efetua'; 'dupla'; 'polícia'; 'porto'; 'arma'; 'vigilante';;;;1
'moradores'; 'serro'; 'afrodite'; 'pra'; 'guardião'; 'tiros'; 'nicolau'; 'disparo'; 'assustam'; 'novela'; 'azul'; 'ruim'; 'dirá'; 'tiro'; 'questionará'; 'som'; 'arma';;;;1
'social'; 'morta'; 'perícia'; 'tamires'; 'sspds'; 'sábado'; 'jovem'; 'investiga'; 'disparo'; 'suspeito'; 'namorado'; 'dhpp'; 'vítima'; 'trabalha'; 'tiro'; 'acidental'; 'segurança';;;;1
'katia'; 'morta'; 'jenifer'; 'polícia'; 'salgado'; 'mãe'; 'levei'; 'gente'; 'menina'; 'perdida'; 'silene'; 'rio'; 'criança'; 'lembra'; 'olha'; 'filha'; 'bala'; 'tiro';;;1
'cheia'; 'residência'; 'porém'; 'militares'; 'relatou'; 'rapaz'; 'ninguém'; 'possui'; 'contradições'; 'polícia'; 'minas'; 'conta'; 'patos'; 'disparo'; 'irmã'; 'arma'; 'versão'; 'vítima'; 'alvejado'; 'fogo';1
'padre'; 'ocorreu'; 'canaveses'; 'ferido'; 'disparo'; 'vítima'; 'circunstância'; 'marco'; 'transportado'; 'silva'; 'santa'; 'hospital'; 'penafiel'; 'arma';;;;;;;1
'pm'; 'ilegal'; 'posse'; 'ameaça'; 'suspeitos'; 'marca'; 'disparo'; 'porte'; 'revólver'; 'ocorrência'; 'atende'; 'campos'; 'localidade'; 'polícia'; 'arma'; 'fogo';;;;;1
'assassinado'; 'santos'; 'edísio'; 'descarta'; 'pc'; 'descobrir'; 'taxista'; 'disparo'; 'trabalhava'; 'táxi'; 'tenta'; 'latrocínio'; 'polícia'; 'carro'; 'segurança';;;;;;1
'policiais'; 'equipe'; 'disparo'; 'vítima'; 'atingida'; 'ferimento'; 'criança'; 'hospital'; 'informar'; 'itatim'; 'rua'; 'arma'; 'fogo';;;;;;;;1
'pm'; 'semana'; 'helicóptero'; 'disparo'; 'tvaeronáutica'; 'visualizações'; 'tenta'; 'identificar'; 'tentam'; 'sido'; 'atingido'; 'aeronáutica';;;;;;;;;1
'sábadoredaçãoleia'; 'campina'; 'passava'; 'trauma'; 'investiga'; 'disparo'; 'cg'; 'mãe'; 'baleada'; 'atingida'; 'whatsapp'; 'juristas'; 'criança'; 'menino'; 'polícia'; 'acidental';;;;;1
'davi'; 'escrevendo'; 'crime'; 'elaine'; 'marido'; 'disparo'; 'evaldo'; 'filhos'; 'denuncia'; 'atingida'; 'sangue'; 'mulher'; 'delegada'; 'silva'; 'maca'; 'hospital'; 'tiro';;;;1
'via'; 'preso'; 'pública'; 'espingarda'; 'pai'; 'jovem'; 'disparo'; 'interior'; 'guarnição'; 'tarefa'; 'efetuar'; 'éverton'; 'polícia'; 'viçosa'; 'nascimento';;;;;;1
'disparos'; 'detida'; 'efetuado'; 'policiais'; 'disparo'; 'paraíso'; 'mulher'; 'presa'; 'registro'; 'bairro'; 'arma'; 'fogo';;;;;;;;;1
'destaques'; 'página'; 'pronto'; 'cadastar'; 'encontrada'; 'receber'; 'boletim'; 'email';;;;;;;;;;;;;1
'rosto'; 'morto'; 'pública'; 'tiros'; 'idoso'; 'vítima'; 'antônio'; 'persegue'; 'relatório'; 'quintafeira'; 'desfigurado'; 'acaba'; 'silva'; 'bandido'; 'segurança'; 'arma'; 'fogo';;;;1
'madrid'; 'modric'; 'minutos'; 'problema'; 'sevilha'; 'liga'; 'disparo'; 'real'; '20'; 'conjunto'; 'fc'; 'casemiro'; 'recebe'; 'resolve';;;;;;;1
'motocicleta'; 'riomafra'; 'pm'; 'posse'; 'notificaram'; 'espingarda'; 'policiais'; 'mix'; 'disparo'; 'militar'; 'terçafeira'; 'vila'; 'mafra'; 'polícia'; 'apreende'; 'rua';;;;;1
'município'; 'homens'; 'crime'; 'entram'; 'tiros'; 'matam'; 'jovem'; 'ouviram'; 'criminosos'; 'vizinhos'; 'entraram'; 'feijó'; 'polícia'; 'casa'; 'capitão';;;;;;1
'velho'; 'pai'; 'zona'; 'disparo'; 'vítima'; 'upa'; 'rua'; 'mata'; '9'; 'menino'; 'irmão'; 'criança'; 'polícia'; 'porto'; '12'; 'arma'; 'fogo';;;;1
'afirma'; 'exfuncionária'; 'homem'; 'jovem'; 'disparo'; 'vítima'; 'arguido'; 'sexual'; 'tribunal'; 'oficina'; 'sido'; 'pombal'; 'acidental'; 'arma';;;;;;;1
'notícias'; 'viatura'; 'materiais'; 'policiais'; 'homem'; 'kg'; 'construção'; 'individuofurtaemconstrucaoresisteaprisaoelevadisparodetaser'; 'residência'; 'aproximação'; 'volta'; 'fugiu';;;;;;;;;1
'preso'; 'rapaz'; 'homem'; 'acusado'; 'jovem'; 'disparo'; 'militar'; 'caso'; 'vizinhos'; 'tenta'; 'militares'; 'policial'; 'tiro'; 'atingido'; '28'; 'arma';;;;;1
'banheiro'; 'pm'; 'policial'; 'passageiros'; 'ticen'; 'terminal'; 'funcionários'; 'florianópolis'; 'disparo'; 'assusta'; 'militar'; 'mulheres'; 'reserva'; 'polícia'; 'tiro'; 'arma'; 'fogo';;;;1
'indiciada'; 'sthephany'; 'matar'; 'jovem'; 'disparo'; 'deus'; 'thayrany'; 'morte'; 'internada'; 'revólver'; 'higor'; 'serra'; 'irmã'; 'polícia'; 'acidental'; 'arma';;;;;1
'rapaz'; 'universitário'; 'homem'; 'rodrigo'; 'disparo'; 'atira'; 'revólver'; 'acidental'; 'samu'; 'frança'; 'apartamento'; 'receber'; 'polícia'; 'amigo'; 'arma'; 'olho';;;;;1
'varanda'; 'garota'; 'casa'; 'crianças'; 'disparo'; 'vítima'; 'mãe'; 'atingida'; 'volta'; 'trabalha'; 'criança'; 'maranhão'; 'polícia'; 'bala'; 'acidental'; 'arma';;;;;1
'usou'; 'sentada'; 'mão'; 'disparo'; 'vítima'; 'terçafeira'; 'atingida'; 'mulher'; 'volta'; 'samu'; 'blumenau'; 'santo'; 'região'; 'arma'; 'fogo';;;;;;1
'segundafeira'; 'rondas'; 'tiros'; 'suspeito'; 'disparo'; 'vítima'; 'atingida'; 'mulher'; 'volta'; 'tentativa'; 'polícia'; 'palhoça'; 'rua'; 'arma'; 'fogo';;;;;;1
'réveillon'; 'última'; 'homem'; 'disparo'; 'vítima'; 'upa'; 'residência'; 'samu'; 'volta'; 'chegava'; 'festa'; 'atingido'; 'atendimento'; 'arma'; 'fogo';;;;;;1
'polícia'; 'sudeste'; 'sido'; 'madrugada'; 'disparo'; 'vítima'; 'paragominas'; 'morre'; 'terçafeira'; 'namorado'; 'acidental'; 'morreu'; 'menino'; 'caseira'; '10'; 'tiro'; 'suposto'; 'arma';;;1
'oliveira'; 'amigo'; 'comete'; 'vila'; 'soldado'; 'polícia'; 'acidental'; 'disparo'; 'goiânia'; 'arma'; 'pm'; 'itatiaia'; 'resistiu'; 'militar'; 'policial'; 'faria'; 'flávio'; 'atingir'; 'suicídio';;1
'academia'; 'social'; 'sul'; 'tiros'; 'jovem'; 'disparo'; 'casos'; 'asa'; 'saúde'; 'participar'; 'tiro'; 'vida'; 'estabelecimento'; 'morre'; 'suicídio';;;;;;1
'oficial'; 'tenente'; 'pm'; 'disparo'; 'militar'; 'diretor'; 'fuga'; 'morte'; 'sextafeira'; 'provocou'; 'severiano'; 'moneta'; 'polícia'; 'acadepol'; 'capitão';;;;;;1
'porcos'; 'selvagens'; 'proteger'; 'crespo'; 'agricultor'; 'homem'; 'disparo'; 'mexia'; 'milho'; 'ro'; 'acidental'; 'rio'; 'rovítima'; 'atingido'; 'morre'; 'arma';;;;;1
'preso'; 'pm'; 'disparo'; 'vítima'; 'morre'; 'atingida'; 'comemoração'; 'criança'; 'menino'; 'padrinho'; 'acidental'; '28'; 'arma';;;;;;;;1
'juiz'; 'jovem'; 'suspeito'; 'disparo'; 'militar'; 'fica'; 'alojada'; 'nuca'; 'informou'; 'nega'; 'bala'; 'atingido'; 'forapolícia';;;;;;;;1
'vieira'; 'suspeitos'; 'disparo'; 'atingida'; 'cruz'; 'volta'; 'alta'; 'casa'; 'l'; 'arma'; 'fogo';;;;;;;;;;1
'polícia'; 'pm'; 'tiro'; 'ferido'; 'tchecaa'; 'disparo'; 'pistola'; 'bh'; 'informou'; 'desembargador'; 'mendonça'; 'acidental'; 'arma';;;;;;;;1
'suspeita'; 'idoso'; 'investiga'; 'disparo'; 'sp'; 'morte'; 'jundiaí'; 'viagemjosé'; 'morreu'; 'morava'; 'polícia'; 'registrado'; 'atingido'; 'arma'; 'fogo';;;;;;1
'morto'; 'moradores'; 'óbito'; 'sidnei'; 'homem'; 'sinais'; 'disparo'; 'vítima'; 'caso'; 'bombeiros'; 'whatsapp'; 'volta'; 'schroeder'; 'sido'; 'arma'; 'fogo';;;;;1
'águia'; '5º'; 'vítima'; 'disparo'; 'militar'; 'volta'; 'policial'; 'rodoviária'; 'polícia'; 'viaoeste'; 'acidental'; 'sp';;;;;;;;;1
'justiça'; 'confusão'; 'paciente'; 'pede'; 'guarda'; 'indenização'; 'disparo'; 'vídeo'; 'upa'; 'mulher'; 'corregedoria'; 'levou'; 'sorocaba'; 'médicos'; 'choque'; 'arma';;;;;1
'peito'; 'morto'; 'pm'; 'policial'; 'chácara'; 'informações'; 'disparo'; 'militar'; 'judiciária'; 'investigado'; 'sorocaba'; 'polícia'; 'atingido'; 'cômodos';;;;;;;1
'meninas'; 'adolescente'; 'pm'; 'pai'; 'darilane'; 'disparo'; 'matou'; 'morte'; 'disse'; 'revólver'; 'policial'; 'casa'; 'amiga'; 'acidental'; 'arma';;;;;;1
'município'; 'célia'; 'guarda'; 'decisão'; 'disparo'; 'atingida'; 'mulher'; 'gcm'; 'disse'; 'corregedoria'; 'nega'; 'sorocaba'; 'advogado'; 'choque'; 'tirar'; 'tentado'; 'arma';;;;1
'motocicleta'; 'perdendo'; 'sul'; 'sábado'; 'homem'; 'disparo'; 'vítima'; 'morte'; 'javali'; 'terreno'; 'silva'; 'caçada'; 'sido'; 'alvorada'; 'atingido'; 'morre'; 'perseguição'; 'sulsegundo';;;1
'projétil'; 'feito'; 'porta'; 'espingarda'; 'sobrinho'; 'disparo'; 'vítima'; 'pressão'; 'primo'; 'ricocheteado'; 'menino'; 'atingido'; 'morre'; 'arma';;;;;;;1
'disparos'; 'caminhoneiro'; 'jovem'; 'atropela'; 'muriaé'; 'disparo'; 'quintafeira'; 'estrada'; 'vermelho'; 'autor'; 'leva'; 'tiro'; 'pescoço'; 'distrito'; 'condutor';;;;;;1
'drogas'; 'pm'; 'tráfico'; 'polícia'; 'viatura'; 'prende'; 'disparo'; 'velha'; 'totalizavam'; 'volta'; 'blumenau'; 'transitando'; 'veículo'; 'carro'; 'aborda'; 'arma'; 'fogo';;;;1
'acusado'; 'matar'; 'suspeito'; 'disparo'; 'dig'; 'disse'; 'ribeirão'; 'marcio'; 'estudante'; 'ônibus'; 'polícia'; 'acidental'; 'arma';;;;;;;;1
'minutos'; 'feito'; 'proprietários'; 'supermercado'; 'disparo'; '2'; 'filho'; 'prainha'; 'armada'; 'quintafeira'; 'dupla'; 'leva'; 'prainhaação'; 'bairro'; 'r';;;;;;1
'minutos'; 'feito'; 'proprietários'; 'supermercado'; 'disparo'; '2'; 'filho'; 'prainha'; 'armada'; 'quintafeira'; 'dupla'; 'leva'; 'prainhaação'; 'bairro'; 'r';;;;;;1
'arma'; 'sala'; 'ocorrido'; 'adventista'; 'nota'; 'disparo'; 'lancheira'; 'promete'; 'aluno'; 'colégio'; 'auxílio'; 'pais'; 'segurança'; 'polícia'; 'alunos'; 'psicológico'; 'fogo';;;;1
'motorista'; 'joão'; 'policiais'; 'homem'; 'ferido'; 'ituvítima'; 'disparo'; 'fica'; 'itu'; 'perna'; 'veículo'; 'atingido'; 'rua'; 'arma'; 'fogo';;;;;;1
